Date,Portfolio Value
2015-01-22,10000.0
2015-01-23,10000.0
2015-01-26,10000.0
2015-01-27,10000.0
2015-01-28,10000.0
2015-01-29,10000.0
2015-01-30,10000.0
2015-02-02,10000.0
2015-02-03,10000.0
2015-02-04,10000.0
2015-02-05,10000.0
2015-02-06,10000.0
2015-02-09,10000.0
2015-02-10,10000.0
2015-02-11,10000.0
2015-02-12,10000.0
2015-02-13,10000.0
2015-02-17,10000.0
2015-02-18,10000.0
2015-02-19,10000.0
2015-02-20,10000.0
2015-02-23,10000.0
2015-02-24,10000.0
2015-02-25,10000.0
2015-02-26,10000.0
2015-02-27,10000.0
2015-03-02,10000.0
2015-03-03,10000.0
2015-03-04,10000.0
2015-03-05,10000.0
2015-03-06,10000.0
2015-03-09,10000.0
2015-03-10,10000.0
2015-03-11,10000.0
2015-03-12,10000.0
2015-03-13,10000.0
2015-03-16,10000.0
2015-03-17,10000.0
2015-03-18,10000.0
2015-03-19,10000.0
2015-03-20,10000.0
2015-03-23,10000.0
2015-03-24,10000.0
2015-03-25,10000.0
2015-03-26,10000.0
2015-03-27,10000.0
2015-03-30,10000.0
2015-03-31,10000.0
2015-04-01,10000.0
2015-04-02,10000.0
2015-04-06,10000.0
2015-04-07,10000.0
2015-04-08,10000.0
2015-04-09,10000.0
2015-04-10,10000.0
2015-04-13,10000.0
2015-04-14,10000.0
2015-04-15,10000.0
2015-04-16,10000.0
2015-04-17,10000.0
2015-04-20,10000.0
2015-04-21,10000.0
2015-04-22,10000.0
2015-04-23,10000.0
2015-04-24,10000.0
2015-04-27,10000.0
2015-04-28,10000.0
2015-04-29,10000.0
2015-04-30,10000.0
2015-05-01,10000.0
2015-05-04,10000.0
2015-05-05,10000.0
2015-05-06,10000.0
2015-05-07,10000.0
2015-05-08,10000.0
2015-05-11,10000.0
2015-05-12,10000.0
2015-05-13,10000.0
2015-05-14,10000.0
2015-05-15,10000.0
2015-05-18,10000.0
2015-05-19,10000.0
2015-05-20,10000.0
2015-05-21,10000.0
2015-05-22,10000.0
2015-05-26,10000.0
2015-05-27,10000.0
2015-05-28,10000.0
2015-05-29,10000.0
2015-06-01,10000.0
2015-06-02,10000.0
2015-06-03,10000.0
2015-06-04,10000.0
2015-06-05,10000.0
2015-06-08,10000.0
2015-06-09,10000.0
2015-06-10,10000.0
2015-06-11,10000.0
2015-06-12,10000.0
2015-06-15,10000.0
2015-06-16,10000.0
2015-06-17,10000.0
2015-06-18,10000.0
2015-06-19,10000.0
2015-06-22,10000.0
2015-06-23,10000.0
2015-06-24,10000.0
2015-06-25,10000.0
2015-06-26,10000.0
2015-06-29,10000.0
2015-06-30,10000.0
2015-07-01,10000.0
2015-07-02,10000.0
2015-07-06,10000.0
2015-07-07,10000.0
2015-07-08,10000.0
2015-07-09,10000.0
2015-07-10,10000.0
2015-07-13,10000.0
2015-07-14,10000.0
2015-07-15,10000.0
2015-07-16,10000.0
2015-07-17,10000.0
2015-07-20,10000.0
2015-07-21,10000.0
2015-07-22,10000.0
2015-07-23,10000.0
2015-07-24,10000.0
2015-07-27,10000.0
2015-07-28,10000.0
2015-07-29,10000.0
2015-07-30,10000.0
2015-07-31,10000.0
2015-08-03,10000.0
2015-08-04,10000.0
2015-08-05,10000.0
2015-08-06,10000.0
2015-08-07,10000.0
2015-08-10,10000.0
2015-08-11,10000.0
2015-08-12,10000.0
2015-08-13,10000.0
2015-08-14,10000.0
2015-08-17,10000.0
2015-08-18,10000.0
2015-08-19,10000.0
2015-08-20,10000.0
2015-08-21,10000.0
2015-08-24,10000.0
2015-08-25,10000.0
2015-08-26,10000.0
2015-08-27,10000.0
2015-08-28,10000.0
2015-08-31,10000.0
2015-09-01,10000.0
2015-09-02,10000.0
2015-09-03,10000.0
2015-09-04,10000.0
2015-09-08,10000.0
2015-09-09,10000.0
2015-09-10,10000.0
2015-09-11,10000.0
2015-09-14,10000.0
2015-09-15,10000.0
2015-09-16,10000.0
2015-09-17,10000.0
2015-09-18,10000.0
2015-09-21,10000.0
2015-09-22,10000.0
2015-09-23,10000.0
2015-09-24,10000.0
2015-09-25,10000.0
2015-09-28,10000.0
2015-09-29,10000.0
2015-09-30,10000.0
2015-10-01,10000.0
2015-10-02,10000.0
2015-10-05,10000.0
2015-10-06,10000.0
2015-10-07,10000.0
2015-10-08,10000.0
2015-10-09,10000.0
2015-10-12,10000.0
2015-10-13,10000.0
2015-10-14,9998.919042250882
2015-10-15,10000.93956384309
2015-10-16,10003.53933655325
2015-10-19,10004.036489036182
2015-10-20,9997.163052730382
2015-10-21,9995.82211705779
2015-10-22,9996.565565445786
2015-10-23,9995.366017154654
2015-10-26,9998.180161060258
2015-10-27,9995.940701075237
2015-10-28,9997.131128020761
2015-10-29,9996.524519390558
2015-10-30,9994.380840058966
2015-11-02,9997.509696486246
2015-11-03,9995.028507793531
2015-11-04,10005.646523977852
2015-11-05,10005.710373397093
2015-11-06,10005.979479190739
2015-11-09,10002.77309132581
2015-11-10,9998.745723635233
2015-11-11,9999.92246203778
2015-11-12,9997.122006675154
2015-11-13,9994.49943060098
2015-11-16,9997.746857996568
2015-11-17,9997.605477139676
2015-11-18,10000.830101171252
2015-11-19,10001.163056384139
2015-11-20,10000.34663070673
2015-11-23,9999.31585340758
2015-11-24,9999.543900096864
2015-11-25,10004.738878319815
2015-11-27,10005.637402632245
2015-11-30,10005.02166613187
2015-12-01,10008.182440744202
2015-12-02,10005.810714723326
2015-12-03,10006.139109263411
2015-12-04,10005.076400730073
